,State,FIPS,County [2],County Seat,population,total area km,total area mi,Latitude,Longitude
1,AL,1001,Autauga,Prattville,"54,571","1,565.36",604.388,+32.536382°,–86.644490°
2,AL,1003,Baldwin,Bay Minette,"182,265","5,250.71","2,027.31",+30.659218°,–87.746067°
3,AL,1005,Barbour,Clayton,"27,457","2,342.68",904.515,+31.870670°,–85.405456°
4,AL,1007,Bibb,Centreville,"22,915","1,621.77",626.169,+33.015893°,–87.127148°
5,AL,1009,Blount,Oneonta,"57,322","1,685.12",650.628,+33.977448°,–86.567246°
6,AL,1011,Bullock,Union Springs,"10,914","1,619.11",625.143,+32.101759°,–85.717261°
7,AL,1013,Butler,Greenville,"20,947","2,014.70",777.882,+31.751667°,–86.681969°
8,AL,1015,Calhoun,Anniston,"118,572","1,585.81",612.287,+33.771706°,–85.822513°
9,AL,1017,Chambers,Lafayette,"34,215","1,562.06",603.113,+32.917943°,–85.391812°
10,AL,1019,Cherokee,Centre,"25,989","1,553.94",599.978,+34.069515°,–85.654242°
11,AL,1021,Chilton,Clanton,"43,643","1,815.07",700.802,+32.854060°,–86.726628°
12,AL,1023,Choctaw,Butler,"13,859","2,385.01",920.859,+31.991008°,–88.248887°
13,AL,1025,Clarke,Grove Hill,"25,833","3,244.15","1,252.57",+31.685521°,–87.818624°
14,AL,1027,Clay,Ashland,"13,932","1,569.54",606.001,+33.267809°,–85.862051°
15,AL,1029,Cleburne,Heflin,"14,972","1,453.02",561.013,+33.671981°,–85.516109°
16,AL,1031,Coffee,"Elba, Enterprise","49,948","1,762.47",680.495,+31.402183°,–85.989201°
17,AL,1033,Colbert,Tuscumbia,"54,428","1,611.31",622.129,+34.703112°,–87.801457°
18,AL,1035,Conecuh,Evergreen,"13,228","2,208.54",852.722,+31.428293°,–86.992029°
19,AL,1037,Coosa,Rockford,"11,539","1,725.84",666.349,+32.931445°,–86.243482°
20,AL,1039,Covington,Andalusia,"37,765","2,703.40","1,043.79",+31.243987°,–86.448721°
21,AL,1041,Crenshaw,Luverne,"13,906","1,582.26",610.916,+31.732826°,–86.319222°
22,AL,1043,Cullman,Cullman,"80,406","1,955.50",755.021,+34.131923°,–86.869267°
23,AL,1045,Dale,Ozark,"50,251","1,457.39",562.701,+31.430654°,–85.609476°
24,AL,1047,Dallas,Selma,"43,820","2,573.94",993.805,+32.333540°,–87.114356°
25,AL,1049,DeKalb,Fort Payne,"71,109","2,016.79",778.685,+34.460929°,–85.803992°
26,AL,1051,Elmore,Wetumpka,"79,303","1,701.73",657.042,+32.597229°,–86.142739°
27,AL,1053,Escambia,Brewton,"38,319","2,468.62",953.139,+31.121748°,–87.168429°
28,AL,1055,Etowah,Gadsden,"104,430","1,420.94",548.629,+34.047638°,–86.034420°
29,AL,1057,Fayette,Fayette,"17,241","1,630.02",629.356,+33.732249°,–87.752049°
30,AL,1059,Franklin,Russellville,"31,704","1,674.49",646.523,+34.441988°,–87.842815°
31,AL,1061,Geneva,Geneva,"26,790","1,499.48",578.951,+31.090866°,–85.824346°
32,AL,1063,Greene,Eutaw,"9,045","1,709.24",659.941,+32.844497°,–87.964201°
33,AL,1065,Hale,Greensboro,"15,760","1,700.33",656.501,+32.752796°,–87.623061°
34,AL,1067,Henry,Abbeville,"17,302","1,471.91",568.309,+31.516978°,–85.239971°
35,AL,1069,Houston,Dothan,"101,547","1,506.48",581.654,+31.158193°,–85.296398°
36,AL,1071,Jackson,Scottsboro,"53,227","2,918.32","1,126.77",+34.763522°,–85.977400°
37,AL,1073,Jefferson,Birmingham,"658,466","2,910.67","1,123.81",+33.553444°,–86.896536°
38,AL,1075,Lamar,Vernon,"14,564","1,568.15",605.464,+33.787085°,–88.087431°
39,AL,1077,Lauderdale,Florence,"92,709","1,867.36",720.99,+34.904122°,–87.650997°
40,AL,1079,Lawrence,Moulton,"34,339","1,857.54",717.199,+34.529776°,–87.321865°
41,AL,1081,Lee,Opelika,"140,247","1,595.04",615.849,+32.604064°,–85.353048°
42,AL,1083,Limestone,Athens,"82,782","1,572.61",607.188,+34.810239°,–86.981400°
43,AL,1085,Lowndes,Hayneville,"11,299","1,877.92",725.071,+32.147888°,–86.650586°
44,AL,1087,Macon,Tuskegee,"21,452","1,588.20",613.207,+32.387027°,–85.692887°
45,AL,1089,Madison,Huntsville,"334,811","2,104.89",812.702,+34.764238°,–86.551080°
46,AL,1091,Marengo,Linden,"21,027","2,545.11",982.671,+32.247591°,–87.791091°
47,AL,1093,Marion,Hamilton,"30,776","1,925.84",743.571,+34.138219°,–87.881551°
48,AL,1095,Marshall,Guntersville,"93,019","1,614.03",623.179,+34.309564°,–86.321668°
49,AL,1097,Mobile,Mobile,"412,992","4,257.97","1,644.01",+30.684573°,–88.196568°
50,AL,1099,Monroe,Monroeville,"23,068","2,679.13","1,034.42",+31.580332°,–87.383266°
51,AL,1101,Montgomery,Montgomery,"229,363","2,071.76",799.912,+32.203651°,–86.203831°
52,AL,1103,Morgan,Decatur,"119,490","1,551.54",599.053,+34.454484°,–86.846402°
53,AL,1105,Perry,Marion,"10,591","1,874.84",723.88,+32.639005°,–87.293827°
